COMPANY	RIC	INDEX WEIGHT	PROPERTY TYPE	CAP RANGE	SIZE	LEGACY KEY
Philip Morris International	PM.N	0.009903594				
Pinnacle West Capital (AZ)	PNW.N	0.000421945				
Pioneer Natural Resources	PXD.N	0.000778135				
Pitney Bowes Inc	PBI.N	0.000422775				
Plum Creek Timber Co	PCL.N	0.000553846				
Polo Ralph Lauren A	RL.N	0.000584438				
Praxair Inc	PX.N	0.002611348				
Precision Castparts Corp	PCP.N	0.001851546				
Priceline.com Inc	PCLN.OQ	0.001704931				
Principal Financial Group	PFG.N	0.000814152				
Procter & Gamble	PG.N	0.016795892				
Progress Energy Inc	PGN.N	0.001207452				
Progressive Corp	PGR.N	0.001321158				
Prologis	PLD.N	0.000702989				
Prudential Financial Inc	PRU.N	0.002286384				
Public Service Enterprise Grp	PEG.N	0.001537166				
Public Storage	PSA.N	0.00133208				
Pulte Group Inc	PHM.N	0.000251204				
QEP Resources	QEP.N	0.000540837				
QLogic Corp	QLGC.OQ	0.000176919				
QUALCOMM Inc	QCOM.OQ	0.00674762				
Quanta Services Inc	PWR.N	0.000388634				
Quest Diagnostics	DGX.N	0.000684915				
Qwest Communications Intl Inc	Q.N	0.001072245				
RadioShack Corp	RSH.N	0.000231555				
Range Resources Corp	RRC.N	0.00057597				
Raytheon Co	RTN.N	0.001652844				
Red Hat Inc	RHT.N	0.0007537				
Regions Financial Corp	RF.N	0.000710433				
Republic Services Inc	RSG.N	0.000846481				
Reynolds American Inc	RAI.N	0.001018487				
Robert Half Intl Inc	RHI.N	0.000376503				
Rockwell Automation Inc	ROK.N	0.000846742				
Rockwell Collins	COL.N	0.000867559				
Roper Industries Inc	ROP.N	0.000613076				
Ross Stores Inc	ROST.OQ	0.00067848				
Rowan Companies Inc	RDC.N	0.000334811				
Ryder System Inc	R.N	0.000215157				
SAIC Inc	SAI.N	0.000432066				
SCANA Corp	SCG.N	0.000428616				
SLM Corp	SLM.N	0.000530184				
Safeway Inc	SWY.N	0.000811925				
Salesforce.com	CRM.N	0.001247305				
SanDisk Corp	SNDK.OQ	0.000806544				
Sara Lee Corp	SLE.N	0.000901592				
Schlumberger Ltd	SLB.N	0.009025882				
"Schwab, Charles Corp"	SCHW.N	0.001409531				
Scripps Networks Interactive	SNI.N	0.000420304				
Sealed Air Corp	SEE.N	0.000344458				
Sears Holdings Corp	SHLD.OQ	0.000295779				
Sempra Energy	SRE.N	0.001234549				
Sherwin-Williams Co	SHW.N	0.000604071				
Sigma-Aldrich Corp	SIAL.OQ	0.000722505				
Simon Property Group	SPG.N	0.002721896				
"Smucker, J.M. Co"	SJM.N	0.000707801				
Snap On Inc	SNA.N	0.000277876				
Southern Co	SO.N	0.002916115				
Southwest Airlines Co	LUV.N	0.000970761				
Southwestern Energy Co	SWN.N	0.001117022				
Spectra Energy Corp	SE.N	0.001447062				
Sprint Nextel Corp	S.N	0.001130997				
St Jude Medical Inc	STJ.N	0.00114811				
Stanley Black & Decker	SWK.N	0.000942774				
Staples Inc	SPLS.OQ	0.001370572				
Starbucks Corp	SBUX.OQ	0.001975559				
Starwood Hotel & Resort World	HOT.N	0.000963167				
State Street Corp	STT.N	0.001944968				
